Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
commons-bcel;RandomForest;2;model6;NONE;0,9713818479149632;0,7057772278929099;0,9642960103756485;[0,98532495 0,42622951];0,9713818479149632;0,2826086956521739;0,9983007646559049;0,6404547301540393;"[1175; 2; 33; 13]"
commons-bcel;DT;2;model6;NONE;0,9591169255928046;0,6987091052424123;0,9577427418442536;[0,97881356 0,41860465];0,9591169255928046;0,391304347826087;0,9813084112149533;0,6863063795205201;"[1155; 22; 28; 18]"
commons-bcel;LogistRegression;2;model6;NONE;0,8258381030253475;0,5522479644822128;0,8759199798507121;[0,90224874 0,20224719];0,8258381030253475;0,5869565217391305;0,8351741716227697;0,71106534668095;"[983; 194; 19; 27]"
commons-bcel;MLP;2;model6;NONE;0,9632052330335241;0,5314295931138413;0,9473906227127861;[0,98122653 0,08163265];0,9632052330335241;0,043478260869565216;0,9991503823279524;0,5213143215987588;"[1176; 1; 44; 2]"
commons-bcel;RandomForest;2;model7;NONE;0,9795584627964022;0,8234995295245022;0,9769800978119102;[0,98946481 0,65753425];0,9795584627964022;0,5217391304347826;0,9974511469838573;0,75959513870932;"[1174; 3; 22; 24]"
commons-bcel;DT;2;model7;NONE;0,9730171708912511;0,803350338395872;0,9722703978609014;[0,98601102 0,62068966];0,9730171708912511;0,5869565217391305;0,9881053525913339;0,7875309371652321;"[1163; 14; 19; 27]"
commons-bcel;LogistRegression;2;model7;NONE;0,74897792313982;0,5346461269984099;0,8267054781260424;[0,85046274 0,21882952];0,7489779231398201;0,9347826086956522;0,7417162276975361;0,8382494181965942;"[873; 304; 3; 43]"
commons-bcel;MLP;2;model7;NONE;0,964022894521668;0,5508180300500835;0,9492278354357289;[0,98163606 0,12      ];0,964022894521668;0,06521739130434782;0,9991503823279524;0,5321838868161501;"[1176; 1; 43; 3]"
commons-bcel;DT;2;model6;ROS;0,9591169255928046;0,6605041083721963;0,9549514460151849;[0,97890295 0,34210526];0,9591169255928046;0,2826086956521739;0,9855564995751912;0,6340825976136825;"[1160; 17; 33; 13]"
commons-bcel;RandomForest;2;model6;ROS;0,9656582174979559;0,6911616161616162;0,960420641410012;[0,98232323 0,4       ];0,9656582174979559;0,30434782608695654;0,9915038232795242;0,6479258246832403;"[1167; 10; 32; 14]"
commons-bcel;LogistRegression;2;model6;ROS;0,8331970564186427;0,5549871575342467;0,8803805346162031;[0,90684932 0,203125  ];0,8331970564186427;0,5652173913043478;0,8436703483432455;0,7044438698237966;"[993; 184; 20; 26]"
commons-bcel;MLP;2;model6;ROS;0,8887980376124285;0,633063306330633;0,9163502613548354;[0,93939394 0,32673267];0,8887980376124285;0,717391304347826;0,8954970263381479;0,806444165342987;"[1054; 123; 13; 33]"
commons-bcel;DT;2;model7;ROS;0,9738348323793949;0,8192900151453585;0,9738348323793949;[0,98640612 0,65217391];0,9738348323793949;0,6521739130434783;0,9864061172472387;0,8192900151453584;"[1161; 16; 16; 30]"
commons-bcel;RandomForest;2;model7;ROS;0,9844644317252658;0,8867774675612596;0,9840344714956708;[0,99194574 0,7816092 ];0,9844644317252658;0,7391304347826086;0,994052676295667;0,8665915555391378;"[1170; 7; 12; 34]"
