Dataset;Algoritm;window;model;resample;F1-Score(micro);F1-Score(macro);F1-Score(weighted);F1-Score(None);Accuracy;Sensitivity;Specificity;ROC AUC score;Confusion matrix
commons-bcel;RandomForest;0;model6;NONE;0,9535603715170279;0,6830524307817909;0,9417755081471951;[0,97586096 0,3902439 ];0,9535603715170279;0,2553191489361702;0,9967126890203813;0,6260159189782757;"[1516; 5; 70; 24]"
commons-bcel;DT;0;model6;NONE;0,8761609907120743;0,5817145817145817;0,8918068515591735;[0,93265993 0,23076923];0,8761609907120743;0,3191489361702128;0,9105851413543721;0,6148670387622924;"[1385; 136; 64; 30]"
commons-bcel;LogistRegression;0;model6;NONE;0,9120743034055727;0,6728829322287266;0,9200415757257283;[0,95260347 0,39316239];0,9120743034055727;0,48936170212765956;0,938198553583169;0,7137801278554142;"[1427; 94; 48; 46]"
commons-bcel;MLP;0;model6;NONE;0,9436532507739938;0,5437017396245044;0,9211692041815951;[0,97089862 0,11650485];0,9436532507739938;0,06382978723404255;0,9980276134122288;0,5309287003231357;"[1518; 3; 88; 6]"
commons-bcel;RandomForest;0;model7;NONE;0,9287925696594427;0,7744218896698647;0,9393073390299903;[0,96103016 0,58781362];0,9287925696594427;0,8723404255319149;0,9322813938198553;0,902310909675885;"[1418; 103; 12; 82]"
commons-bcel;DT;0;model7;NONE;0,9269349845201238;0,7722263656617232;0,9380935325369582;[0,95994569 0,58450704];0,9269349845201238;0,8829787234042553;0,9296515450361604;0,9063151342202078;"[1414; 107; 11; 83]"
commons-bcel;LogistRegression;0;model7;NONE;0,7554179566563468;0,573952337159531;0,8196368144099638;[0,8520045  0,29590018];0,7554179566563467;0,8829787234042553;0,747534516765286;0,8152566200847707;"[1137; 384; 11; 83]"
commons-bcel;MLP;0;model7;NONE;0,9411764705882353;0,505031148276118;0,9155716330646348;[0,96965826 0,04040404];0,9411764705882353;0,02127659574468085;0,9980276134122288;0,5096521045784548;"[1518; 3; 92; 2]"
commons-bcel;DT;0;model6;ROS;0,8724458204334365;0,597227602905569;0,891412169506518;[0,93016949 0,26428571];0,8724458204334365;0,39361702127659576;0,9020381328073636;0,6478275770419797;"[1372; 149; 57; 37]"
commons-bcel;RandomForest;0;model6;ROS;0,9430340557275542;0,6565418400369857;0,9337109192169458;[0,97022654 0,34285714];0,9430340557275542;0,2553191489361702;0,9855358316896778;0,620427490312924;"[1499; 22; 70; 24]"
