Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score,Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
wro4j,RandomForest,3,model2,ADA,"0,9347581552","0,8556065499","0,9366822295","[0,96251293 0,74870017]","0,9347581552","0,8044692737","0,9526612078","0,8785652408",[3723; 185; 105; 432]
wro4j,RandomForest,3,model1,ADA,"0,9329583802","0,8491685774","0,9344252708","[0,96158804 0,73674912]","0,9329583802","0,7765363128","0,9544524053","0,8654943591",[3730; 178; 120; 417]
wro4j,DT,3,model2,ADA,"0,9235095613","0,8341209651","0,9264681786","[0,95588998 0,71235195]","0,9235095613","0,7839851024","0,9426816786","0,8633333905",[3684; 224; 116; 421]
wro4j,DT,3,model1,SMOTE,"0,9230596175","0,830712602","0,9255349564","[0,95574534 0,70567986]","0,9230596175","0,7635009311","0,9449846469","0,854242789",[3693; 215; 127; 410]
wro4j,MLP,3,model1,ADA,"0,8785151856","0,7570442294","0,8873269508","[0,928835 0,58525346]","0,8785151856","0,7094972067","0,9017400205","0,8056186136",[3524; 384; 156; 381]
wro4j,MLP,3,model2,ADA,"0,890663667","0,7615223306","0,894611736","[0,937014 0,58603066]","0,890663667","0,6405959032","0,9250255885","0,7828107459",[3615; 293; 193; 344]
wro4j,LogistRegression,3,model1,ROS,"0,7271091114","0,6176890666","0,7728004926","[0,82221897 0,41315917]","0,7271091114","0,7951582868","0,7177584442","0,7564583655",[2805; 1103; 110; 427]
wro4j,LogistRegression,3,model2,ROS,"0,7250843645","0,6149822766","0,7711262136","[0,82087364 0,40909091]","0,7250843645","0,7877094972","0,7164790174","0,7520942573",[2800; 1108; 114; 423]
pdfbox,RandomForest,3,model2,SMOTE,"0,9385543088","0,8480887063","0,9386706345","[0,96531817 0,73085924]","0,9385543088","0,7340496978","0,9647778161","0,8494137569",[11203; 409; 396; 1093]
pdfbox,MLP,3,model2,ROS,"0,9080986184","0,8012903877","0,9138588124","[0,94697437 0,65560641]","0,9080986184","0,7696440564","0,9258525663","0,8477483114",[10751; 861; 343; 1146]
pdfbox,RandomForest,3,model1,ADA,"0,9400809099","0,8498466205","0,9397877106","[0,96624672 0,73344652]","0,9400809099","0,725319006","0,9676197038","0,8464693549",[11236; 376; 409; 1080]
pdfbox,MLP,3,model1,ROS,"0,891000687","0,7775021921","0,9002921102","[0,93641464 0,61858974]","0,891000687","0,7777031565","0,9055287633","0,8416159599",[10515; 1097; 331; 1158]
pdfbox,DT,3,model1,ADA,"0,911915121","0,8040073188","0,9163775154","[0,94943476 0,65857988]","0,911915121","0,7474815312","0,9330003445","0,8402409379",[10834; 778; 376; 1113]
pdfbox,DT,3,model2,ADA,"0,9219906877","0,8179991048","0,9243009117","[0,95557294 0,68042527]","0,9219906877","0,7306917394","0,9465208405","0,83860629",[10991; 621; 401; 1088]
pdfbox,LogistRegression,3,model1,ROS,"0,7698648958","0,6347614788","0,8064045373","[0,85689876 0,4126242 ]","0,7698648958","0,7112155809","0,7773854633","0,7443005221",[9027; 2585; 430; 1059]
pdfbox,LogistRegression,3,model2,SMOTE,"0,7667353637","0,6323335472","0,8040984239","[0,85462848 0,41003861]","0,7667353637","0,7132303559","0,7735962797","0,7434133178",[8983; 2629; 427; 1062]
junit4,DT,3,model1,SMOTE,"0,9721964782","0,8696817933","0,973267687","[0,98526523 0,75409836]","0,9721964782","0,8214285714","0,9804496579","0,9009391146",[2006; 40; 20; 92]
junit4,RandomForest,3,model1,SMOTE,"0,9814643188","0,9042080966","0,9813048632","[0,99023438 0,81818182]","0,9814643188","0,8035714286","0,991202346","0,8973868873",[2028; 18; 22; 90]
junit4,RandomForest,3,model2,SMOTE,"0,9805375348","0,8985452738","0,9802839504","[0,9897511 0,80733945]","0,9805375348","0,7857142857","0,991202346","0,8884583159",[2028; 18; 24; 88]
junit4,DT,3,model2,SMOTE,"0,9670991659","0,8475508013","0,9685380002","[0,982551 0,71255061]","0,9670991659","0,7857142857","0,977028348","0,8813713169",[1999; 47; 24; 88]
