;position;metric;information_gain;total_ocurences
0;0;TACH;0,15447286107269914;
1;1;FRCH;0,0961585958727002;
2;2;CHD;0,08302401798658596;
3;3;innerClassesQty;0,08124354543266238;
4;4;finalFieldsQty;0,07937521723511756;
5;5;MaxCyclomaticModified;0,06519221033953336;
6;6;CHO;0,05535488796341397;
7;7;stringLiteralsQty;0,05464477800751393;
8;8;wmc;0,053830593783855296;
9;9;SumCyclomaticModified;0,05275473241138882;
10;10;FCH;0,05211899972921595;
11;11;rfc;0,04833742782885955;
12;12;MaxCyclomaticStrict;0,04679662267077848;
13;13;MaxCyclomatic;0,04668443327211573;
14;14;MaxEssential;0,04609726570936081;
15;15;cbo;0,04515186456368423;
16;16;MaxInheritanceTree;0,04501020154150449;
17;17;WFR;0,04487672151202961;
18;18;BOC;0,04473204244593543;
19;19;assignmentsQty;0,04417704231650025;
20;20;lcom;0,0433723078987871;
21;21;WCD;0,04157345881839248;
22;22;LCH;0,04121470791166148;
23;23;tryCatchQty;0,04100699686323514;
24;24;MaxNesting;0,039727590657911385;
25;25;protectedMethodsQty;0,0355094838689603;
26;26;tcc;0,03351516643153964;
27;27;totalMethodsQty;0,03204449062788154;
28;28;Cyclomatic;0,03062503760697571;
29;29;AvgLineCode;0,03041621288568825;
30;30;AvgCyclomatic;0,029916983126481247;
31;31;modifiers;0,029703500340793144;
32;32;AvgLineComment;0,02773433867079239;
33;33;parenthesizedExpsQty;0,027626504601243405;
34;34;numbersQty;0,02654223146439877;
35;35;nosi;0,026021636816311942;
36;36;returnQty;0,025683685450452177;
37;37;visibleFieldsQty;0,024814534851518313;
38;38;LCD;0,02169585246296855;
39;39;SumEssential;0,021639746304422544;
40;40;loc;0,021075613879253063;
41;41;mathOperationsQty;0,02101606341798262;
42;42;AvgCyclomaticModified;0,02069873726965333;
43;43;RatioCommentToCode;0,020369845914705018;
44;44;comparisonsQty;0,020155827165483985;
45;45;Essential;0,019656772896326374;
46;46;PercentLackOfCohesion;0,01874648373818097;
47;47;LCA;0,017149346423429416;
48;48;SumCyclomaticStrict;0,016457138185241724;
49;49;synchronizedMethodsQty;0,01640012289908957;
50;50;ATAF;0,016007339561880822;
51;51;CSB;0,01504811790486538;
52;52;privateFieldsQty;0,014010751475990844;
53;53;publicFieldsQty;0,01393190986931096;
54;54;CyclomaticModified;0,013581180000062828;
55;55;AvgLineBlank;0,012440449557801266;
56;56;AvgCyclomaticStrict;0,012273693122717108;
57;57;CyclomaticStrict;0,011176811385982637;
58;58;abstractMethodsQty;0,010307758038162522;
59;59;logStatementsQty;0,010278158433670678;
60;60;AvgLine;0,010103974482706527;
61;61;privateMethodsQty;0,009331225270663702;
62;62;staticMethodsQty;0,00841961793202505;
63;63;SumCyclomatic;0,007683337967329295;
64;64;dit;0,006840240998834339;
65;65;lcc;0,006377814139408843;
66;66;publicMethodsQty;0,006001318113942455;
67;67;loopQty;0,0056641521267157095;
68;68;defaultFieldsQty;0,004482478356487622;
69;69;maxNestedBlocksQty;0,004217142861067885;
70;70;lambdasQty;0,004060400521277009;
71;71;staticFieldsQty;0,003339374240912107;
72;72;totalFieldsQty;0,002549517490220318;
73;73;protectedFieldsQty;0,002509242056896925;
74;74;anonymousClassesQty;0,0013918816388495785;
75;75;variablesQty;0,0012190456221498282;
76;76;finalMethodsQty;0,0005638372224841088;
77;77;uniqueWordsQty;0,0005542021502518463;
78;78;defaultMethodsQty;0,0003910201479885012;
