;position;metric;information_gain;total_ocurences
0;0;TACH;0,3008802793569286;
1;1;FRCH;0,15157695083698866;
2;2;WFR;0,14907335844143826;
3;3;BOC;0,1163172110987828;
4;4;CHD;0,11314724489142261;
5;5;LCH;0,10523810983624515;
6;6;FCH;0,0751654908008829;
7;7;finalFieldsQty;0,06876267894134085;
8;8;ATAF;0,06647705674316215;
9;9;SumCyclomaticModified;0,06543286078507977;
10;10;WCD;0,06391973294875784;
11;11;MaxCyclomaticModified;0,06251218634258719;
12;12;innerClassesQty;0,053901485235684006;
13;13;LCA;0,042891477836922855;
14;14;CHO;0,039103527310846604;
15;15;lcom;0,03527176141413998;
16;16;tryCatchQty;0,033232995001493314;
17;17;SumEssential;0,03291099911613499;
18;18;MaxEssential;0,03261610739210263;
19;19;MaxCyclomaticStrict;0,03258784164994162;
20;20;wmc;0,0325209267179568;
21;21;MaxInheritanceTree;0,031607059245408034;
22;22;stringLiteralsQty;0,03130821922793675;
23;23;assignmentsQty;0,029713426873579474;
24;24;MaxNesting;0,029207537509595465;
25;25;parenthesizedExpsQty;0,02683810021587421;
26;26;MaxCyclomatic;0,02543119952200192;
27;27;RatioCommentToCode;0,024549527931344645;
28;28;tcc;0,020667999262198502;
29;29;rfc;0,02045352458410812;
30;30;modifiers;0,019474722392490835;
31;31;AvgCyclomatic;0,01946927832911469;
32;32;synchronizedMethodsQty;0,01830056696355605;
33;33;totalMethodsQty;0,018220380064404917;
34;34;protectedMethodsQty;0,017359705239657186;
35;35;defaultFieldsQty;0,01718184387460696;
36;36;numbersQty;0,01658164126252991;
37;37;visibleFieldsQty;0,016310651567084198;
38;38;Cyclomatic;0,01506567642017424;
39;39;AvgLineCode;0,014046779491225646;
40;40;AvgLineComment;0,013888721267370969;
41;41;returnQty;0,01380176065263426;
42;42;nosi;0,012833257270104486;
43;43;publicFieldsQty;0,012469757784326073;
44;44;loopQty;0,011912603428040947;
45;45;totalFieldsQty;0,01119627207639123;
46;46;LCD;0,010693603734794404;
47;47;anonymousClassesQty;0,010247710746269085;
48;48;lcc;0,009966470109527788;
49;49;loc;0,009941751078208801;
50;50;AvgCyclomaticModified;0,009609396190972539;
51;51;AvgLineBlank;0,009427299555831131;
52;52;SumCyclomatic;0,009261817879430576;
53;53;AvgCyclomaticStrict;0,009111584205519788;
54;54;AvgLine;0,009023531583750272;
55;55;CyclomaticModified;0,008942193700125847;
56;56;publicMethodsQty;0,006779449987414309;
57;57;privateMethodsQty;0,006557355023364037;
58;58;comparisonsQty;0,004929873911447395;
59;59;CSB;0,004206106401677135;
60;60;privateFieldsQty;0,004196834721507983;
61;61;staticMethodsQty;0,004181898007665604;
62;62;cbo;0,004124051158400203;
63;63;CyclomaticStrict;0,0037778913240145706;
64;64;uniqueWordsQty;0,0037721025519698555;
65;65;logStatementsQty;0,003436794778417113;
66;66;dit;0,0024741444195119314;
67;67;staticFieldsQty;0,0024201255422681084;
68;68;maxNestedBlocksQty;0,0021823287865948018;
69;69;finalMethodsQty;0,002031997753916531;
70;70;PercentLackOfCohesion;0,002030861158193336;
71;71;Essential;0,0018527684558001384;
72;72;lambdasQty;0,001598773028709719;
73;73;mathOperationsQty;0,00148182132588528;
74;74;SumCyclomaticStrict;0,0011342798508844343;
75;75;variablesQty;0,0011295377722964626;
76;76;defaultMethodsQty;0,0007540410262873826;
77;77;abstractMethodsQty;0,0005827234274353131;
78;78;protectedFieldsQty;0,0004766262230193963;
