;position;metric;information_gain;total_ocurences
0;0;TACH;0,17835232258025513;
1;1;WFR;0,11191534037032111;
2;2;FRCH;0,10877542030052559;
3;3;BOC;0,1006263779900602;
4;4;CHD;0,09202065804208356;
5;5;LCH;0,09109898995009201;
6;6;FCH;0,06484186767584896;
7;7;SumCyclomaticModified;0,06394768538441563;
8;8;CHO;0,051148946604430603;
9;9;SumEssential;0,040485448804030835;
10;10;finalFieldsQty;0,03835334460620498;
11;11;innerClassesQty;0,03523962633597541;
12;12;MaxCyclomaticModified;0,03390602249033695;
13;13;RatioCommentToCode;0,032032288789861633;
14;14;lcom;0,027311606247614244;
15;15;MaxInheritanceTree;0,025760198004496443;
16;16;WCD;0,024626456536399194;
17;17;wmc;0,02460839854022389;
18;18;MaxCyclomaticStrict;0,024328410601456976;
19;19;MaxEssential;0,023735758608532283;
20;20;tcc;0,022955079543591914;
21;21;MaxNesting;0,02224314213645559;
22;22;rfc;0,02127330531154724;
23;23;LCA;0,02036499341826784;
24;24;ATAF;0,0193850568648581;
25;25;nosi;0,016145517052157856;
26;26;protectedMethodsQty;0,015274048069961514;
27;27;MaxCyclomatic;0,01505445534734648;
28;28;staticMethodsQty;0,01491364934744984;
29;29;stringLiteralsQty;0,012095953113576929;
30;30;modifiers;0,012024060961406248;
31;31;assignmentsQty;0,011072350617764062;
32;32;returnQty;0,010965757805917178;
33;33;Cyclomatic;0,010513937213089786;
34;34;totalMethodsQty;0,010362058066163492;
35;35;cbo;0,010156201308257805;
36;36;publicMethodsQty;0,009612620980073379;
37;37;AvgLineCode;0,009486760692556676;
38;38;AvgLineComment;0,009486760692556676;
39;39;visibleFieldsQty;0,008845809145265296;
40;40;AvgCyclomaticModified;0,007689934848287982;
41;41;Essential;0,007086325652803536;
42;42;mathOperationsQty;0,007008239688523075;
43;43;defaultFieldsQty;0,006976509305959263;
44;44;publicFieldsQty;0,0069224648558015665;
45;45;tryCatchQty;0,006864350128098424;
46;46;CyclomaticModified;0,006724763913049005;
47;47;parenthesizedExpsQty;0,006601148888542678;
48;48;loc;0,00601467795200119;
49;49;synchronizedMethodsQty;0,005714675114108831;
50;50;AvgCyclomatic;0,00565550527767633;
51;51;lcc;0,004907036356624671;
52;52;AvgLineBlank;0,004782830207394665;
53;53;comparisonsQty;0,0046926138826120225;
54;54;numbersQty;0,004462679826467185;
55;55;AvgCyclomaticStrict;0,004170723992369913;
56;56;AvgLine;0,004170723992369913;
57;57;loopQty;0,0038376043528882513;
58;58;defaultMethodsQty;0,0036833567712637695;
59;59;maxNestedBlocksQty;0,0034865362594175106;
60;60;CyclomaticStrict;0,003081074793790309;
61;61;SumCyclomatic;0,0030468516698216046;
62;62;LCD;0,0029723930404428342;
63;63;abstractMethodsQty;0,0019967718119289378;
64;64;variablesQty;0,0017929001732795839;
65;65;PercentLackOfCohesion;0,0015152061919106912;
66;66;totalFieldsQty;0,001461850090094397;
67;67;lambdasQty;0,0010701014920100377;
68;68;dit;0,0009802252801167396;
69;69;CSB;0,0009348024424765456;
70;70;protectedFieldsQty;0,0007668910073573167;
71;71;logStatementsQty;0,0005864278395143823;
72;72;privateMethodsQty;0,0005638332438509825;
73;73;staticFieldsQty;0,0004904264277668328;
74;74;privateFieldsQty;0,00044164007065400747;
75;75;finalMethodsQty;0,0003664113408253975;
76;76;uniqueWordsQty;0,00027647331249719843;
77;77;SumCyclomaticStrict;0,00010969516137516316;
78;78;anonymousClassesQty;0,0;
