;position;metric;information_gain;total_ocurences
0;0;TACH;0,19924906266303505;
1;1;WFR;0,09372255262251103;
2;2;BOC;0,07291194947964433;
3;3;FRCH;0,07149032880893466;
4;4;SumCyclomaticModified;0,06280554462796664;
5;5;FCH;0,04873410498212341;
6;6;LCH;0,046866478207847;
7;7;CHD;0,04615886494945909;
8;8;finalFieldsQty;0,04185900288496717;
9;9;LCA;0,03914916363402868;
10;10;innerClassesQty;0,03765837302238759;
11;11;rfc;0,0371365298856643;
12;12;SumCyclomatic;0,03506554535261111;
13;13;stringLiteralsQty;0,03322359631654002;
14;14;MaxInheritanceTree;0,03311806773011135;
15;15;CHO;0,033057980061184926;
16;16;wmc;0,032537364397622344;
17;17;assignmentsQty;0,0321654165520769;
18;18;MaxCyclomaticStrict;0,03158143772963333;
19;19;MaxEssential;0,031282888102565534;
20;20;AvgLineCode;0,029945073108894417;
21;21;AvgLineComment;0,029907900040611536;
22;22;Cyclomatic;0,02946780312634919;
23;23;parenthesizedExpsQty;0,027460424543047368;
24;24;cbo;0,027395927087562156;
25;25;returnQty;0,027101251081659148;
26;26;Essential;0,02609858381404491;
27;27;mathOperationsQty;0,026054431284010478;
28;28;lcom;0,025064438326724624;
29;29;MaxNesting;0,02430854197993771;
30;30;numbersQty;0,023899371652805753;
31;31;AvgCyclomatic;0,022525888657209427;
32;32;modifiers;0,022196893448559393;
33;33;LCD;0,02200969054786463;
34;34;MaxCyclomaticModified;0,021920429698707233;
35;35;visibleFieldsQty;0,020681759397571747;
36;36;staticMethodsQty;0,020447483842055404;
37;37;loc;0,020410809879983532;
38;38;CSB;0,019384025707105488;
39;39;tcc;0,018406674619345725;
40;40;comparisonsQty;0,018152061140251818;
41;41;MaxCyclomatic;0,01810133577216696;
42;42;CyclomaticModified;0,017537445090435345;
43;43;nosi;0,017467825558835356;
44;44;AvgLineBlank;0,016607279656302182;
45;45;AvgCyclomaticStrict;0,015875736128524418;
46;46;RatioCommentToCode;0,015788210539757288;
47;47;AvgLine;0,015532096259956822;
48;48;publicFieldsQty;0,015479094145919378;
49;49;tryCatchQty;0,015440865354671256;
50;50;loopQty;0,014957088196731872;
51;51;uniqueWordsQty;0,014393893443008975;
52;52;SumEssential;0,013383852459265403;
53;53;synchronizedMethodsQty;0,012148554468242959;
54;54;protectedMethodsQty;0,01104027605672469;
55;55;totalMethodsQty;0,01093256974052659;
56;56;defaultFieldsQty;0,009726378970977936;
57;57;AvgCyclomaticModified;0,008772960302791176;
58;58;ATAF;0,008038701621923036;
59;59;totalFieldsQty;0,007805543980756364;
60;60;PercentLackOfCohesion;0,005949752710324194;
61;61;WCD;0,005908469081759238;
62;62;publicMethodsQty;0,004871338110484224;
63;63;lcc;0,004803913536437054;
64;64;CyclomaticStrict;0,004555583681749358;
65;65;logStatementsQty;0,0037536875442070825;
66;66;maxNestedBlocksQty;0,0034449156592795457;
67;67;dit;0,0027022525442885405;
68;68;staticFieldsQty;0,002605418791984819;
69;69;abstractMethodsQty;0,0024938527171200985;
70;70;privateFieldsQty;0,002294289721456983;
71;71;SumCyclomaticStrict;0,001799695221419817;
72;72;lambdasQty;0,0016660995414369932;
73;73;variablesQty;0,0015319864378177664;
74;74;defaultMethodsQty;0,0014093115842995596;
75;75;privateMethodsQty;0,0011707113587588022;
76;76;protectedFieldsQty;0,0011586608309306944;
77;77;finalMethodsQty;0,00028281272338079853;
78;78;anonymousClassesQty;0,0002137312965455514;
