;position;metric;information_gain;total_ocurences
0;0;TACH;0,2935547580393862;
1;1;WFR;0,14661562466465766;
2;2;FRCH;0,1215193557138901;
3;3;BOC;0,10771574194043324;
4;4;LCH;0,07918319009052081;
5;5;CHD;0,07135832632632437;
6;6;WCD;0,06676630182425697;
7;7;FCH;0,06138670141148067;
8;8;finalFieldsQty;0,045403820840541884;
9;9;SumCyclomaticModified;0,037063467568054356;
10;10;innerClassesQty;0,036670809419380376;
11;11;rfc;0,035017783196313955;
12;12;cbo;0,03152419093494479;
13;13;MaxCyclomaticModified;0,02891035696435918;
14;14;MaxInheritanceTree;0,02839891301091627;
15;15;MaxCyclomaticStrict;0,027764062086677744;
16;16;MaxEssential;0,027594576984054674;
17;17;stringLiteralsQty;0,02701236024508488;
18;18;assignmentsQty;0,026666634469063255;
19;19;modifiers;0,02585114587899241;
20;20;LCA;0,025608866446729696;
21;21;CHO;0,02554814975292231;
22;22;ATAF;0,02502257481928016;
23;23;AvgLineComment;0,024988389876579663;
24;24;AvgLineCode;0,024891511844578794;
25;25;Cyclomatic;0,024869053391324725;
26;26;wmc;0,024408911241266467;
27;27;SumCyclomatic;0,024136608791723916;
28;28;AvgCyclomatic;0,023991074609485;
29;29;lcom;0,02388135988335028;
30;30;RatioCommentToCode;0,023494979922875026;
31;31;MaxNesting;0,023100197909478183;
32;32;SumEssential;0,021484948538554857;
33;33;uniqueWordsQty;0,02081760640868875;
34;34;staticMethodsQty;0,01983043503778828;
35;35;MaxCyclomatic;0,018888102518701128;
36;36;tcc;0,017802959558621167;
37;37;synchronizedMethodsQty;0,017688854548198178;
38;38;numbersQty;0,01665788843897441;
39;39;tryCatchQty;0,016472870807403815;
40;40;nosi;0,016459764827256307;
41;41;publicFieldsQty;0,016350427330210242;
42;42;CyclomaticModified;0,0160169849109226;
43;43;mathOperationsQty;0,015587479978137898;
44;44;Essential;0,015570455772553008;
45;45;loopQty;0,015081191080540216;
46;46;AvgLineBlank;0,013687435040602087;
47;47;returnQty;0,013500881532694249;
48;48;AvgCyclomaticStrict;0,012853548518923504;
49;49;AvgLine;0,01229633867400932;
50;50;visibleFieldsQty;0,01130721798547635;
51;51;AvgCyclomaticModified;0,010384133901612549;
52;52;protectedMethodsQty;0,009962785826488726;
53;53;loc;0,009748062531035771;
54;54;totalMethodsQty;0,009020556531114122;
55;55;totalFieldsQty;0,008490202873569105;
56;56;CyclomaticStrict;0,008311854837117737;
57;57;variablesQty;0,007990672897920745;
58;58;defaultFieldsQty;0,00721116208505768;
59;59;publicMethodsQty;0,007043966184961871;
60;60;parenthesizedExpsQty;0,005943651173268948;
61;61;abstractMethodsQty;0,004582220204349819;
62;62;LCD;0,00393899596021534;
63;63;comparisonsQty;0,003736031007676314;
64;64;PercentLackOfCohesion;0,003377171849348054;
65;65;maxNestedBlocksQty;0,002770080388397412;
66;66;lcc;0,002731501196661207;
67;67;privateMethodsQty;0,002378905631473765;
68;68;staticFieldsQty;0,002243363336405862;
69;69;protectedFieldsQty;0,0020455635648337165;
70;70;CSB;0,0017699840754557094;
71;71;dit;0,0016853223287997185;
72;72;finalMethodsQty;0,0007912390926103014;
73;73;privateFieldsQty;0,0006160321627899867;
74;74;lambdasQty;0,0005837442181611959;
75;75;logStatementsQty;0,00029607220811552913;
76;76;defaultMethodsQty;0,00023070931077927835;
77;77;SumCyclomaticStrict;3,209712029298567e-05;
78;78;anonymousClassesQty;0,0;
